title,link
"European markets expected to open in mixed territory after Fed, Bank of England cut interest rates",https://www.cnbc.com/2024/11/08/europe-markets-live-updates-us-election-reaction-data-and-earnings.html
"Sony raises guidance on gaming strength, quarterly operating profit beats estimates",https://www.cnbc.com/2024/11/08/sony-reports-69percent-jump-in-operating-profit-beating-expectations.html
"Top trader Vitol eyeing metals market as global oil demand set to peak in 10 years, CEO signals",https://www.cnbc.com/2024/11/08/vitol-eyes-metals-market-as-oil-demand-to-peak-in-10-years-ceo-signals-.html
"Nissan shares plunge over 10% after downbeat quarterly results, production-cut plans",https://www.cnbc.com/2024/11/08/nissan-shares-plunge-over-10percent-after-downbeat-quarterly-results-production-cut-plans.html
American interest in moving abroad skyrockets after Trump's win — here's where,https://www.cnbc.com/2024/11/08/americans-interested-in-moving-abroad-skyrocket-after-trumps-win.html
China expected to announce highly anticipated fiscal stimulus package,https://www.cnbc.com/2024/11/08/china-expected-to-announce-highly-anticipated-fiscal-stimulus-package.html
Powell maintains that elections won't sway Fed's policy,https://www.cnbc.com/2024/11/08/cnbc-daily-open-powell-says-elections-wont-sway-feds-policy-.html
Friday's big stock stories: What’s likely to move the market in the next session,https://www.cnbc.com/2024/11/07/fridays-big-stock-stories-whats-likely-to-move-the-market.html
Cramer's Lightning Round: Jabil is a buy,https://www.cnbc.com/2024/11/07/cramers-lightning-round-jabil-is-a-buy.html
Asia-Pacific markets mixed after Fed rate cut boosts Wall Street rally; China's NPC in focus,https://www.cnbc.com/2024/11/08/asia-markets.html
Cramer examines Thursday's market action and explains why there are few sellers,https://www.cnbc.com/2024/11/07/cramer-examines-market-action-and-explains-why-there-are-few-sellers.html
"Polymarket plans return to U.S. after signaling Trump's victory, founder says",https://www.cnbc.com/2024/11/07/polymarket-plans-to-return-to-the-us-founder-says-.html
DraftKings CEO says sports betting industry is at 'important inflection point',https://www.cnbc.com/2024/11/07/draftkings-ceo-sports-betting-is-at-important-inflection-point.html
"The sectors — and stocks — to buy in Asia after Trump's win, analysts say",https://www.cnbc.com/2024/11/08/the-sectors-and-stocks-to-buy-in-asia-after-trumps-win-according-to-analysts.html
"Bitcoin's on track to hit $100,000 after Trump's election victory, analysts say",https://www.cnbc.com/2024/11/08/bitcoin-on-path-to-hit-100000-after-pro-crypto-trump-election-win.html
How Samsung fell behind in the AI boom leading to a $126 billion wipeout,https://www.cnbc.com/2024/11/08/how-samsung-fell-behind-in-the-ai-boom-behind-rival-sk-hynix.html
Stock futures are little changed as Wall Street looks to extend postelection rally,https://www.cnbc.com/2024/11/07/stock-market-today-live-updates.html
"Stocks making the biggest moves after hours: Airbnb, Pinterest, Expedia and more",https://www.cnbc.com/2024/11/07/stocks-making-the-biggest-moves-after-hours-abnb-pins-expe-rivn.html
Affirm beats on top and bottom lines,https://www.cnbc.com/2024/11/07/affirm-afrm-earnings-report-q1-2025.html
Block reports revenue miss but a slight beat on earnings,https://www.cnbc.com/2024/11/07/block-sq-earnings-q3-2024.html
Pinterest stock plunges following weak Q4 revenue guidance,https://www.cnbc.com/2024/11/07/pinterest-pins-q3-earnings-report-2024.html
Rivian lowers earnings guidance after missing Wall Street's third-quarter expectations,https://www.cnbc.com/2024/11/07/rivian-rivn-earnings-q3-2024.html
Lucid slightly tops Wall Street's Q3 expectations amid widening losses,https://www.cnbc.com/2024/11/07/lucid-lcid-results-q3-2024.html
Airbnb misses on earnings but squeaks in a revenue beat,https://www.cnbc.com/2024/11/07/airbnb-abnb-q3-earnings-report-2024.html
Trump trades: Using 2016 Trump rally stocks as a playbook for what to buy now,https://www.cnbc.com/2024/11/07/trump-trades-using-2016-trump-rally-as-a-playbook-for-what-to-buy-now.html
Gundlach says expect higher rates if Republicans also win the House,https://www.cnbc.com/2024/11/07/doublelines-gundlach-says-expect-higher-rates-if-republicans-also-win-the-house.html
Traders see good chance the Fed cuts again in December then skips in January,https://www.cnbc.com/2024/11/07/traders-see-good-chance-the-fed-cuts-again-in-december-then-skips-in-january.html
Why mortgage rates keep climbing despite Fed interest rate cuts,https://www.cnbc.com/2024/11/07/why-mortgage-rates-keep-climbing-despite-fed-interest-rate-cuts.html
Here's how much control the president has over the U.S. economy,https://www.cnbc.com/2024/11/07/heres-how-much-control-the-president-has-over-the-us-economy.html
Trump takes a rare break from social media after election win,https://www.cnbc.com/2024/11/07/trump-x-truth-social-djt-election.html
