title,link
european market expected open mixed territory fed bank england cut interest rate,https://www.cnbc.com/2024/11/08/europe-markets-live-updates-us-election-reaction-data-and-earnings.html
sony raise guidance gaming strength quarterly operating profit beat estimate,https://www.cnbc.com/2024/11/08/sony-reports-69percent-jump-in-operating-profit-beating-expectations.html
top trader vitol eyeing metal market global oil demand set peak 10 year ceo signal,https://www.cnbc.com/2024/11/08/vitol-eyes-metals-market-as-oil-demand-to-peak-in-10-years-ceo-signals-.html
nissan share plunge 10 downbeat quarterly result production cut plan,https://www.cnbc.com/2024/11/08/nissan-shares-plunge-over-10percent-after-downbeat-quarterly-results-production-cut-plans.html
american interest moving abroad skyrocket trump win,https://www.cnbc.com/2024/11/08/americans-interested-in-moving-abroad-skyrocket-after-trumps-win.html
china expected announce highly anticipated fiscal stimulus package,https://www.cnbc.com/2024/11/08/china-expected-to-announce-highly-anticipated-fiscal-stimulus-package.html
powell maintains election sway fed policy,https://www.cnbc.com/2024/11/08/cnbc-daily-open-powell-says-elections-wont-sway-feds-policy-.html
friday big stock story likely move market next session,https://www.cnbc.com/2024/11/07/fridays-big-stock-stories-whats-likely-to-move-the-market.html
cramer lightning round jabil buy,https://www.cnbc.com/2024/11/07/cramers-lightning-round-jabil-is-a-buy.html
asia pacific market mixed fed rate cut boost wall street rally china npc focus,https://www.cnbc.com/2024/11/08/asia-markets.html
cramer examines thursday market action explains seller,https://www.cnbc.com/2024/11/07/cramer-examines-market-action-and-explains-why-there-are-few-sellers.html
polymarket plan return u signaling trump victory founder say,https://www.cnbc.com/2024/11/07/polymarket-plans-to-return-to-the-us-founder-says-.html
draftkings ceo say sport betting industry important inflection point,https://www.cnbc.com/2024/11/07/draftkings-ceo-sports-betting-is-at-important-inflection-point.html
sector stock buy asia trump win analyst say,https://www.cnbc.com/2024/11/08/the-sectors-and-stocks-to-buy-in-asia-after-trumps-win-according-to-analysts.html
bitcoin track hit 100 000 trump election victory analyst say,https://www.cnbc.com/2024/11/08/bitcoin-on-path-to-hit-100000-after-pro-crypto-trump-election-win.html
samsung fell behind ai boom leading 126 billion wipeout,https://www.cnbc.com/2024/11/08/how-samsung-fell-behind-in-the-ai-boom-behind-rival-sk-hynix.html
stock future little changed wall street look extend postelection rally,https://www.cnbc.com/2024/11/07/stock-market-today-live-updates.html
stock making biggest move hour airbnb pinterest expedia,https://www.cnbc.com/2024/11/07/stocks-making-the-biggest-moves-after-hours-abnb-pins-expe-rivn.html
affirm beat top bottom line,https://www.cnbc.com/2024/11/07/affirm-afrm-earnings-report-q1-2025.html
block report revenue miss slight beat earnings,https://www.cnbc.com/2024/11/07/block-sq-earnings-q3-2024.html
pinterest stock plunge following weak q4 revenue guidance,https://www.cnbc.com/2024/11/07/pinterest-pins-q3-earnings-report-2024.html
rivian lower earnings guidance missing wall street third quarter expectation,https://www.cnbc.com/2024/11/07/rivian-rivn-earnings-q3-2024.html
lucid slightly top wall street q3 expectation amid widening loss,https://www.cnbc.com/2024/11/07/lucid-lcid-results-q3-2024.html
airbnb miss earnings squeak revenue beat,https://www.cnbc.com/2024/11/07/airbnb-abnb-q3-earnings-report-2024.html
trump trade using 2016 trump rally stock playbook buy,https://www.cnbc.com/2024/11/07/trump-trades-using-2016-trump-rally-as-a-playbook-for-what-to-buy-now.html
gundlach say expect higher rate republican also win house,https://www.cnbc.com/2024/11/07/doublelines-gundlach-says-expect-higher-rates-if-republicans-also-win-the-house.html
trader see good chance fed cut december skip january,https://www.cnbc.com/2024/11/07/traders-see-good-chance-the-fed-cuts-again-in-december-then-skips-in-january.html
mortgage rate keep climbing despite fed interest rate cut,https://www.cnbc.com/2024/11/07/why-mortgage-rates-keep-climbing-despite-fed-interest-rate-cuts.html
much control president u economy,https://www.cnbc.com/2024/11/07/heres-how-much-control-the-president-has-over-the-us-economy.html
trump take rare break social medium election win,https://www.cnbc.com/2024/11/07/trump-x-truth-social-djt-election.html
